Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source
ABBES,38,11,4.1694365475006687e-10,1.7273045842069512e-10,1.1225309879882483e-07,5,0,0,0,0,0,0,0,0,2,12of12inf
ABBESS,39,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABBESSES,40,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABBEY,41,6023,2.282956029599684e-07,2.4416036857281354e-07,2.2648567557541418e-05,1826,0,0,0,0,0,0,0,0,2,12of12inf
ABBEYS,42,3,1.1371190584092733e-10,1.0984362379300724e-10,9.115037403048191e-08,3,0,0,0,0,0,0,0,0,2,12of12inf
ABBOT,43,2156,8.17209563310131e-08,8.743497125315302e-08,8.236534764253101e-06,940,0,0,0,0,0,0,0,0,2,12of12inf
ABBOTS,44,28,1.0613111211819883e-09,6.481096465863352e-10,1.935009661882714e-07,24,0,0,0,0,0,0,0,0,2,12of12inf
ABBREVIATE,45,969,3.6728945586619526e-08,4.789090633306833e-08,4.4081910771493625e-06,402,0,0,0,0,0,0,0,0,4,12of12inf
ABBREVIATED,46,50038,1.8966387814894406e-06,1.4265188760679683e-06,1.9974935366647776e-05,25125,0,0,0,0,0,0,0,0,5,12of12inf
ABBREVIATES,47,77,2.918605583250468e-09,3.678301699791407e-09,8.658824340204525e-07,45,0,0,0,0,0,0,0,0,4,12of12inf
ABBREVIATING,48,17,6.443674664319215e-10,1.9214772522761465e-09,6.372291157567171e-07,16,0,0,0,0,0,0,0,0,5,12of12inf
ABBREVIATION,49,14509,5.499486806153382e-07,3.013244161443296e-07,6.579170283485627e-06,7617,0,0,0,0,0,0,0,0,5,12of12inf
ABBREVIATIONS,50,35982,1.3638605986560823e-06,7.585649344231464e-07,9.207233485831723e-06,19003,0,0,0,0,0,0,0,0,5,12of12inf
ABDICATE,51,50,1.895198430682122e-09,1.1093004136695902e-09,3.05318992052017e-07,36,0,0,0,0,0,0,0,0,3,12of12inf
ABDICATED,52,145,5.496075448978154e-09,3.705526611144869e-09,5.24468259367889e-07,91,2009,0,0,0,0,0,0,0,4,12of12inf
ABDICATES,53,1,3.790396861364244e-11,1.2100702848526269e-11,1.3526318065746777e-08,1,2009,0,0,0,0,0,0,0,3,12of12inf
ABDICATING,54,49,1.8572944620684796e-09,1.1092349205164594e-09,2.390994498761646e-07,37,2009,0,0,0,0,0,0,0,4,12of12inf
ABDICATION,55,788,2.986832726755025e-08,2.0528779476202794e-08,1.403745186661576e-06,633,2009,0,0,0,0,0,0,0,4,12of12inf
ABDICATIONS,56,0,0.0,0.0,0.0,0,2009,0,0,0,0,0,0,0,4,12of12inf
ABDOMEN,57,3205,1.2148221940672402e-07,8.49457427944278e-08,3.714142177233652e-06,1795,0,0,0,0,0,0,0,0,3,12of12inf
ABDOMENS,58,9,3.4113571752278197e-10,1.196116101121841e-10,5.678145157370359e-08,8,0,0,0,0,0,0,0,0,3,12of12inf
ABDOMINAL,59,15135,5.736765649674784e-07,3.836101402909995e-07,9.659741188539075e-06,6058,0,0,0,0,0,0,0,0,4,12of12inf
ABDOMINALS,60,23,8.717912781137762e-10,2.0396419580645705e-09,5.139124970954267e-07,23,0,0,0,0,0,0,0,0,4,12of12inf
ABDUCT,61,5,1.895198430682122e-10,7.738825265716202e-11,6.179521177084181e-08,4,0,0,0,0,0,0,0,0,2,12of12inf
ABDUCTED,62,144,5.4581714803645116e-09,1.1799624196032727e-08,2.141879441340199e-06,88,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTING,63,5,1.895198430682122e-10,9.06381428816139e-11,4.998209258117922e-08,5,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTION,64,225,8.52839293806955e-09,5.737141067264885e-09,1.065270192538687e-06,137,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTIONS,65,99,3.752492892750602e-09,4.697516682323922e-09,7.974845403439137e-07,57,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTOR,66,9,3.4113571752278197e-10,8.339955671311588e-11,5.8963770067929406e-08,3,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTORS,67,8,3.0323174890913953e-10,1.5297024315830865e-10,7.2091146477987e-08,7,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTS,68,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABEAM,69,70,2.653277802954971e-09,2.9718135873414233e-09,6.654672083240427e-07,41,0,0,0,0,0,0,0,0,2,12of12inf
ABED,70,128,4.8517079825462324e-09,7.493207278364886e-09,2.077368065953387e-06,50,0,0,0,0,0,0,0,0,2,12of12inf
ABERRANT,71,2662,1.0090036444951618e-07,4.843823548333682e-08,1.8996680496351881e-06,1785,2009,0,0,0,0,0,0,0,3,12of12inf
ABERRATION,72,1210,4.5863802022507356e-08,4.4244632178368766e-08,3.5446912178557594e-06,855,2009,0,0,0,0,0,0,0,4,12of12inf
ABERRATIONAL,73,108,4.093628610273384e-09,2.9089302103088842e-09,5.155399157138358e-07,70,2009,0,0,0,0,0,0,0,5,12of12inf
ABERRATIONS,74,2240,8.490488969455908e-08,7.48508419942355e-08,3.2433455509599054e-06,1540,2009,0,0,0,0,0,0,0,4,12of12inf
ABET,75,1790,6.784810381841997e-08,4.0768502555897704e-08,2.107684920416361e-06,1173,0,0,0,0,0,0,0,0,2,12of12inf
ABETS,76,239,9.059048498660544e-09,6.1640092211799904e-09,6.746472262180796e-07,184,0,0,0,0,0,0,0,0,2,12of12inf
ABETTED,77,17924,6.793907334309271e-07,6.064991699036323e-07,1.150023942656493e-05,9566,0,0,0,0,0,0,0,0,3,12of12inf
ABETTER,78,33,1.2508309642502007e-09,2.3285653781136606e-09,6.643139849228763e-07,25,0,0,0,0,0,0,0,0,3,12of12inf
ABETTERS,79,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABETTING,80,27197,1.0308742343852334e-06,8.952094570694471e-07,1.8369165433215554e-05,12672,2009,0,0,0,0,0,0,0,3,12of12inf
ABETTOR,81,188,7.125946099364779e-09,7.949157622305423e-09,1.299346118388087e-06,135,0,0,0,0,0,0,0,0,3,12of12inf
ABETTORS,82,105,3.979916704432456e-09,4.869588954710398e-09,9.221575322885313e-07,70,0,0,0,0,0,0,0,0,3,12of12inf
ABEYANCE,83,21079,7.98977754406969e-07,4.855823786429301e-07,1.0328949817761978e-05,8363,0,0,2009,0,0,0,0,0,3,12of12inf
ABEYANCES,84,20,7.580793722728488e-10,7.359368327124417e-10,2.639747235360155e-07,19,0,0,2009,0,0,0,0,0,4,12of12inf
ABHOR,85,12,4.548476233637093e-10,3.3103241678819186e-10,1.3084632040169212e-07,12,0,0,0,0,0,0,0,0,2,12of12inf
ABHORRED,86,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABHORRENCE,87,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABHORRENCES,88,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABHORRENT,89,56,2.1226222423639766e-09,1.6786638472654245e-09,4.36521937232633e-07,40,0,0,0,0,0,0,0,0,3,12of12inf
ABHORRENTLY,90,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABHORRING,91,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABHORS,92,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABIDANCE,93,127,4.81380401393259e-09,3.510558422588764e-09,5.824206018627999e-07,108,0,0,0,0,0,0,0,0,3,12of12inf
ABIDANCES,94,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABIDE,95,92958,3.523477114386974e-06,2.1597519948674432e-06,1.6367763456916485e-05,56368,0,0,0,0,0,0,2009,0,2,12of12inf
ABIDED,96,808,3.0626406639823095e-08,1.878718209173424e-08,1.2996699579039339e-06,574,0,0,0,0,0,0,0,0,3,12of12inf
ABIDES,97,1324,5.0184854444462595e-08,2.8346319426156305e-08,1.7322455345515876e-06,1027,0,0,0,0,0,0,0,0,2,12of12inf
ABIDING,98,3850,1.459302791625234e-07,1.1210327215883796e-07,3.70013893291012e-06,3065,0,0,0,0,0,0,2009,0,3,12of12inf
ABIDINGLY,99,1,3.790396861364244e-11,2.1409707739114266e-11,2.3932040989603285e-08,1,0,0,0,0,0,0,0,0,4,12of12inf
ABILITIES,100,110719,4.196689500933877e-06,3.7526596225838864e-06,2.3385726614558385e-05,81036,0,0,0,0,0,0,0,0,4,12of12inf
ABILITY,101,15837802,0.0006003155499170835,0.0005863414249432717,0.0005035308071819463,1078151,0,0,0,0,0,0,0,0,4,12of12inf
ABJECT,102,28,1.0613111211819883e-09,6.252399957060851e-10,1.7781814769454165e-07,24,0,0,0,0,0,0,0,0,2,12of12inf
ABJECTION,103,7,2.653277802954971e-10,1.487139829874805e-10,7.888534962320979e-08,7,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTIONS,104,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTLY,105,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTNESS,106,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTNESSES,107,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABJURATION,108,3,1.1371190584092733e-10,1.989278336805348e-10,1.6896578318996997e-07,2,0,0,0,0,0,0,0,0,4,12of12inf
ABJURATIONS,109,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABJURATORY,110,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABJURE,111,3,1.1371190584092733e-10,2.0881084473982807e-11,2.3341139245247787e-08,1,0,0,0,0,0,0,0,0,2,12of12inf
ABJURED,112,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABJURER,113,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJURERS,114,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJURES,115,1,3.790396861364244e-11,4.321595577492469e-11,4.83073397177148e-08,1,0,0,0,0,0,0,0,0,2,12of12inf
ABJURING,116,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABLATE,117,2317,8.782349527780954e-08,6.193978202939727e-08,3.3076649278490633e-06,1007,0,0,0,0,0,0,0,0,2,12of12inf
ABLATED,118,322,1.2205077893592867e-08,8.233994464550824e-09,7.921004705712355e-07,236,0,0,0,0,0,0,0,0,3,12of12inf
ABLATES,119,271,1.0271975494297102e-08,9.072565236828913e-09,1.1218599871512227e-06,221,0,0,0,0,0,0,0,0,2,12of12inf
ABLATING,120,614,2.3273036728776458e-08,1.7017098183089825e-08,1.257655506198094e-06,392,0,0,0,0,0,0,0,0,3,12of12inf
ABLATION,121,30254,1.1467466664371385e-06,9.165588500049988e-07,3.493275128520453e-05,4310,0,0,0,0,0,0,0,0,3,12of12inf
ABLATIONS,122,825,3.127077410625501e-08,1.9490791812691345e-08,1.732057781206593e-06,356,0,0,0,0,0,0,0,0,3,12of12inf
ABLATIVE,123,1678,6.360285933369201e-08,3.982498037769873e-08,2.977621968370323e-06,671,0,0,0,0,0,0,0,0,3,12of12inf
ABLATIVES,124,25,9.47599215341061e-10,6.657385505199413e-10,3.5855118460320186e-07,20,0,0,0,0,0,0,0,0,3,12of12inf
ABLAZE,125,67,2.5395658971140434e-09,2.318171701582781e-09,6.627602786540589e-07,23,0,0,0,0,0,0,0,0,2,12of12inf
ABLE,126,5981203,0.00022671133078382402,0.0002120442196707248,0.0003007641141220272,808977,0,2009,0,0,0,0,0,0,2,12of12inf
ABLER,127,21,7.959833408864913e-10,4.0962423366639137e-10,1.2240522630728223e-07,19,0,0,0,0,0,0,0,0,2,12of12inf
ABLEST,128,280,1.0613111211819884e-08,3.172186296437306e-08,1.078295829493273e-05,39,0,0,0,0,0,0,0,0,2,12of12inf
ABLOOM,129,3,1.1371190584092733e-10,1.904749039182273e-11,1.684952685783604e-08,2,0,0,0,0,0,0,0,0,2,12of12inf
ABLUTION,130,26,9.855031839547034e-10,5.143801367089326e-10,1.5044279550561516e-07,23,0,0,0,0,0,0,0,0,3,12of12inf
ABLUTIONS,131,45,1.7056785876139098e-09,2.740242727832841e-10,1.1114990340963872e-07,11,0,0,0,0,0,0,0,0,3,12of12inf
ABLY,132,1440,5.4581714803645114e-08,2.5975247412713007e-08,1.7904750072880748e-06,1149,0,0,0,0,0,0,0,0,2,12of12inf
ABNEGATE,133,4,1.5161587445456976e-10,1.2397433038395146e-10,9.802499102849104e-08,2,0,0,0,0,0,0,0,0,3,12of12inf
ABNEGATED,134,1,3.790396861364244e-11,1.5493191207136255e-11,1.7318484285123905e-08,1,0,0,0,0,0,0,0,0,4,12of12inf
ABNEGATES,135,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABNEGATING,136,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABNEGATION,137,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABNEGATIONS,138,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABNORMAL,139,76344,2.8937405798399186e-06,2.8260081228663857e-06,2.528980758489766e-05,40067,2009,0,0,0,0,0,0,0,3,12of12inf
ABNORMALITIES,140,11446,4.338488247517514e-07,2.935419302134213e-07,6.861881532040055e-06,6385,2009,0,0,0,0,0,0,0,5,12of12inf
ABNORMALITY,141,2545,9.646560012172001e-08,7.836972064227e-08,3.4187992719779616e-06,1701,2009,0,0,0,0,0,0,0,5,12of12inf
ABNORMALLY,142,14880,5.640110529709995e-07,5.558279428167641e-07,1.0197337379138216e-05,11104,2009,0,0,0,0,0,0,0,4,12of12inf
ABOARD,143,7937,3.0084379888648006e-07,2.66951728635748e-07,7.859123261326592e-06,4368,0,0,0,0,0,0,0,0,2,12of12inf
ABODE,144,1383,5.2421188592667494e-08,2.8115149196552432e-08,6.4646039454176255e-06,347,0,0,0,0,0,0,0,0,2,12of12inf
ABODES,145,6,2.2742381168185466e-10,1.3447217538018154e-10,1.0827312840492084e-07,6,0,0,0,0,0,0,0,0,2,12of12inf
ABOLISH,146,12026,4.55833126547664e-07,2.8602772199990537e-07,4.83937260910749e-06,9829,2009,0,0,0,0,0,0,0,3,12of12inf
ABOLISHED,147,3377,1.2800170200827052e-07,9.555111419145769e-08,3.0315394779283393e-06,2670,2009,0,0,0,0,0,0,0,3,12of12inf
ABOLISHES,148,322,1.2205077893592867e-08,1.1574015451228083e-08,1.5077710322028446e-06,281,2009,0,0,0,0,0,0,0,4,12of12inf
ABOLISHING,149,669,2.5357755002526794e-08,2.4185837636529246e-08,1.5827524802205743e-06,576,2009,0,0,0,0,0,0,0,4,12of12inf
ABOLISHMENT,150,538,2.0392335114139634e-08,1.7810509462261682e-08,2.8299907051680747e-06,335,0,0,0,0,0,0,0,0,0,10K_2014
ABOLITION,151,813,3.0815926482891305e-08,2.2774433532067605e-08,1.3935910126692853e-06,657,0,0,0,0,0,0,0,0,4,12of12inf
ABOLITIONISM,152,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,12of12inf
ABOLITIONISMS,153,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,12of12inf
ABOLITIONIST,154,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABOLITIONISTS,155,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABOLITIONS,156,3,1.1371190584092733e-10,3.453711709694025e-11,3.385655413946045e-08,2,0,0,0,0,0,0,0,0,4,12of12inf
ABOMINABLE,157,26,9.855031839547034e-10,8.929501261810272e-10,3.9288873526746223e-07,10,0,0,0,0,0,0,0,0,5,12of12inf
ABOMINABLY,158,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABOMINATE,159,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABOMINATED,160,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABOMINATES,161,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABOMINATING,162,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABOMINATION,163,16,6.064634978182791e-10,4.928359287429419e-10,2.0542803430901903e-07,12,0,0,0,0,0,0,0,0,5,12of12inf
ABOMINATIONS,164,1,3.790396861364244e-11,4.086165041334782e-11,4.567566752947821e-08,1,0,0,0,0,0,0,0,0,5,12of12inf
ABORIGINAL,165,5214,1.976312923515317e-07,1.4090878005695103e-07,7.959500172337063e-06,1414,0,0,0,0,0,0,0,0,5,12of12inf
ABORIGINALS,166,100,3.790396861364244e-09,5.8179050839526125e-09,8.64294287681029e-07,87,0,0,0,0,0,0,0,0,5,12of12inf
ABORIGINE,167,5,1.895198430682122e-10,7.421399606920489e-10,5.054287143686376e-07,4,0,0,0,0,0,0,0,0,5,12of12inf
ABORIGINES,168,53,2.0089103365230494e-09,3.0554673723411416e-09,6.903780060589506e-07,41,0,0,0,0,0,0,0,0,5,12of12inf
ABORNING,169,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABORT,170,1115,4.226292500421132e-08,3.2081881535304184e-08,2.38789653219237e-06,646,0,0,0,0,0,0,0,0,2,12of12inf
ABORTED,171,3775,1.4308748151650022e-07,2.549271765818271e-07,1.1180177767666615e-05,2405,0,0,0,0,0,0,0,0,3,12of12inf
ABORTING,172,76,2.8807016146368256e-09,2.0278098005379095e-09,4.892630112372147e-07,39,0,0,0,0,0,0,0,0,3,12of12inf
ABORTION,173,1046,3.9647551169869994e-08,1.755230063018581e-08,1.2558095764258828e-06,560,0,0,0,0,0,0,0,0,3,12of12inf
ABORTIONIST,174,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABORTIONISTS,175,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABORTIONS,176,504,1.910360018127579e-08,5.460620323089842e-09,6.68137029738948e-07,174,0,0,0,0,0,0,0,0,3,12of12inf
ABORTIVE,177,263,9.968743745387962e-09,9.918862779943412e-09,1.3403836086664135e-06,157,0,0,0,0,0,0,0,0,3,12of12inf
ABORTIVELY,178,1,3.790396861364244e-11,7.083698751954596e-11,7.918247691913262e-08,1,0,0,0,0,0,0,0,0,4,12of12inf
ABORTS,179,85,3.2218373321596077e-09,2.857457927320637e-09,8.452651165629976e-07,69,0,0,0,0,0,0,0,0,2,12of12inf
ABOUND,180,533,2.020281527107142e-08,2.528359812546498e-08,1.9354314920244365e-06,479,0,0,0,0,0,0,0,0,2,12of12inf
ABOUNDED,181,26,9.855031839547034e-10,1.3524314886632634e-09,3.353496045684515e-07,26,0,0,0,0,0,0,0,0,3,12of12inf
ABOUNDING,182,51,1.9331023992957647e-09,1.1688565228348378e-09,2.3884616144055586e-07,34,0,0,0,0,0,0,0,0,3,12of12inf
ABOUNDS,183,135,5.1170357628417294e-09,4.429846456548547e-09,6.724670186262177e-07,123,0,0,0,0,0,0,0,0,2,12of12inf
ABOUT,184,9703139,0.0003677874761098099,0.0004753490878047327,0.00040973281292396035,1086143,0,0,0,0,0,0,0,0,2,12of12inf
ABOUTS,185,30,1.1371190584092732e-09,1.099086403523648e-09,3.1429218657248874e-07,27,0,0,0,0,0,0,0,0,2,10K_2018
ABOVE,186,11590859,0.00043933955574115504,0.0003855437215309685,0.0003848644687963583,1035366,0,0,0,0,0,0,0,0,2,12of12inf
ABOVEBOARD,187,9,3.4113571752278197e-10,1.6871035207123636e-10,6.9698413725884e-08,9,0,0,0,0,0,0,0,0,3,12of12inf
ABOVEGROUND,188,7382,2.798070963059085e-07,1.971077156480194e-07,8.25730266168723e-06,4268,0,0,0,0,0,0,0,0,3,10K_2008
ABOVEMENTIONED,189,7872,2.983800409265933e-07,3.09232469094091e-07,8.552541789134337e-06,4686,0,0,0,2011,0,0,0,0,4,10K_2010
ABOVES,190,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABRACADABRA,191,33,1.2508309642502007e-09,7.392934879707673e-10,2.252577145447456e-07,28,0,0,0,0,0,0,0,0,5,12of12inf
ABRACADABRAS,192,3,1.1371190584092733e-10,1.6175730928048416e-10,1.1078017361442447e-07,3,0,0,0,0,0,0,0,0,5,12of12inf
ABRADE,193,69,2.6153738343413285e-09,2.380222492565425e-09,4.378618983048049e-07,60,0,0,0,0,0,0,0,0,2,12of12inf
ABRADED,194,68,2.577469865727686e-09,2.2853676404697796e-09,5.93550461736497e-07,58,0,0,0,0,0,0,0,0,3,12of12inf
ABRADES,195,7,2.653277802954971e-10,4.4870924156604715e-10,1.951193300438352e-07,7,0,0,0,0,0,0,0,0,2,12of12inf
ABRADING,196,171,6.481578632932857e-09,7.208479598831862e-09,1.0333029772821156e-06,92,0,0,0,0,0,0,0,0,3,12of12inf
ABRASION,197,5384,2.0407496701585092e-07,1.952970646239342e-07,8.162589211690393e-06,3049,0,0,0,0,0,0,0,0,3,12of12inf
ABRASIONS,198,756,2.8655400271913686e-08,2.3987362568662903e-08,1.8404004626115395e-06,522,0,0,0,0,0,0,0,0,3,12of12inf
ABRASIVE,199,8244,3.124803172508683e-07,3.496115505481375e-07,1.71257766413664e-05,3143,0,0,0,0,0,0,0,0,3,12of12inf
ABRASIVELY,200,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABRASIVENESS,201,88,3.335549238000535e-09,2.0708539903452548e-09,3.313946506893625e-07,71,0,0,0,0,0,0,0,0,4,12of12inf
ABRASIVENESSES,202,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABRASIVES,203,6520,2.4713387536094874e-07,2.78991220560397e-07,2.026890306893822e-05,1812,0,0,0,0,0,0,0,0,3,12of12inf
ABREAST,204,9902,3.7532509721228744e-07,3.2869054480892793e-07,6.06293095944643e-06,8896,0,0,0,0,0,0,0,0,2,12of12inf
ABRIDGE,205,3460,1.3114773140320286e-07,5.314881279372032e-08,1.9386902136836256e-06,2122,0,0,0,0,0,0,0,0,2,12of12inf
ABRIDGED,206,2416,9.157598817056014e-08,5.549490660549935e-08,2.386316933811672e-06,1903,0,0,0,0,0,0,0,0,2,12of12inf
